Date,Total,assets.zip
2025-06-11,2,2
2025-06-10,2,2
2025-06-09,2,2
2025-06-08,2,2
2025-06-07,2,2
2025-06-06,2,2
2025-06-05,2,2
2025-06-04,2,2
2025-06-03,2,2
2025-06-02,2,2
2025-06-01,2,2
2025-05-31,2,2
2025-05-30,2,2
2025-05-29,2,2
2025-05-28,2,2
2025-05-27,2,2
2025-05-26,2,2
2025-05-25,2,2
2025-05-24,2,2
2025-05-23,2,2
2025-05-22,1,1
2025-05-21,1,1
