Date,Total,eft-where-am-i-2.4.4-full.nupkg,eft-where-am-i-2.4.4-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-09-23,50,5,19,0,0,0,0,0,20,6
2026-09-22,50,5,19,0,0,0,0,0,20,6
2026-09-21,50,5,19,0,0,0,0,0,20,6
2026-09-20,50,5,19,0,0,0,0,0,20,6
2026-09-19,50,5,19,0,0,0,0,0,20,6
2026-09-18,50,5,19,0,0,0,0,0,20,6
2026-09-17,50,5,19,0,0,0,0,0,20,6
2026-09-16,50,5,19,0,0,0,0,0,20,6
2026-09-15,50,5,19,0,0,0,0,0,20,6
2026-09-14,50,5,19,0,0,0,0,0,20,6
2026-09-13,50,5,19,0,0,0,0,0,20,6
2026-09-12,50,5,19,0,0,0,0,0,20,6
2026-09-11,50,5,19,0,0,0,0,0,20,6
2026-09-10,50,5,19,0,0,0,0,0,20,6
