Date,Total,eft-where-am-i-2.4.1-full.nupkg,eft-where-am-i-2.4.1-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,RELEASES,releases.win-sc.json,releases.win.json
2026-09-25,16941,95,747,29,62,5,14173,1830
2026-09-24,16356,95,747,29,62,5,13652,1766
2026-09-23,15679,95,747,29,62,5,13069,1672
2026-09-22,15080,95,747,29,62,5,12547,1595
2026-09-21,14503,95,747,29,62,5,12045,1520
2026-09-20,13834,95,747,29,62,5,11450,1446
2026-09-19,13095,95,747,29,62,5,10791,1366
2026-09-18,12457,95,747,29,62,5,10219,1300
2026-09-17,11902,95,747,29,62,5,9717,1247
2026-09-16,11253,95,747,29,62,5,9142,1173
2026-09-15,10734,94,747,29,62,5,8678,1119
2026-09-14,10080,94,747,29,62,5,8096,1047
2026-09-13,9315,94,747,29,62,4,7430,949
2026-09-12,8474,94,745,28,61,4,6685,857
2026-09-11,7676,94,745,28,61,4,5981,763
2026-09-10,6929,93,745,27,61,3,5323,677
2026-09-09,6006,93,745,27,60,3,4508,570
2026-09-08,5124,93,745,26,58,3,3773,426
2026-09-07,4246,93,745,26,58,3,2977,344
2026-09-06,3093,76,651,16,40,2,2079,229
2026-09-05,2000,56,511,7,24,1,1259,142
2026-09-04,906,31,292,3,10,0,514,56
2026-09-03,0,0,0,0,0,0,0,0
