Date,Total,eft-where-am-i-2.3.3-full.nupkg,eft-where-am-i-2.3.3-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-08-22,35968,2,2,2,3,3,2,2,32120,3832
2026-08-21,35235,2,2,2,3,3,2,2,31471,3748
2026-08-20,34468,2,2,2,3,3,2,2,30785,3667
2026-08-19,33690,2,2,2,3,3,2,2,30102,3572
2026-08-18,32852,2,2,2,3,3,2,2,29362,3474
2026-08-17,31983,2,2,2,3,3,2,2,28601,3366
2026-08-16,30939,2,2,2,3,3,2,2,27686,3237
2026-08-15,29947,2,2,2,3,3,2,2,26811,3120
2026-08-14,29046,2,2,2,3,3,2,2,26034,2996
2026-08-13,28219,2,2,2,3,3,2,2,25321,2882
2026-08-12,27328,2,2,2,3,3,2,2,24543,2769
2026-08-11,26447,2,2,2,3,3,2,2,23780,2651
2026-08-10,25575,2,2,2,3,3,2,2,23026,2533
2026-08-09,24572,2,2,2,3,3,2,2,22169,2387
2026-08-08,23539,2,2,2,3,3,2,2,21282,2241
2026-08-07,22619,2,2,2,3,3,2,2,20499,2104
2026-08-06,21688,2,2,2,3,3,2,2,19692,1980
2026-08-05,20755,2,2,2,3,3,2,2,18891,1848
2026-08-04,19846,2,2,2,3,3,2,2,18111,1719
2026-08-03,19477,2,2,2,3,3,2,2,17789,1672
2026-08-02,18860,2,2,2,3,3,2,2,17236,1608
2026-08-01,18251,2,2,2,3,3,2,2,16701,1534
2026-07-31,17676,2,2,2,3,3,2,2,16178,1482
2026-07-30,17160,2,2,2,3,3,2,2,15707,1437
2026-07-29,16638,2,2,2,3,3,2,2,15230,1392
2026-07-28,16405,2,2,2,3,3,2,2,15022,1367
2026-07-27,15844,2,2,2,3,3,2,2,14528,1300
2026-07-26,15179,2,2,2,3,3,2,2,13934,1229
2026-07-25,14494,2,2,2,3,2,2,2,13323,1156
2026-07-24,13881,2,2,2,3,2,2,2,12780,1086
2026-07-23,13313,2,2,2,3,2,2,2,12286,1012
2026-07-22,12720,2,2,2,3,2,2,2,11759,946
2026-07-21,12114,2,2,2,3,2,2,2,11223,876
2026-07-20,11538,2,2,2,3,2,1,2,10702,822
2026-07-19,10884,2,2,2,3,2,1,2,10114,756
2026-07-18,10206,2,2,2,3,2,1,2,9514,678
2026-07-17,9525,2,2,2,3,2,1,2,8894,617
2026-07-16,8899,2,1,2,3,2,1,2,8322,564
2026-07-15,8317,2,1,2,3,2,1,2,7781,523
2026-07-14,7797,2,1,2,2,2,1,1,7300,486
2026-07-13,7250,2,1,2,2,2,1,1,6800,439
2026-07-12,6641,2,1,2,2,2,1,1,6234,396
2026-07-11,5989,2,0,1,2,2,1,1,5629,351
2026-07-10,5356,2,0,1,1,2,0,1,5052,297
2026-07-09,4803,2,0,0,1,2,0,0,4553,245
2026-07-08,4265,2,0,0,1,2,0,0,4051,209
2026-07-07,3745,1,0,0,1,1,0,0,3576,166
2026-07-06,3188,0,0,0,1,1,0,0,3054,132
2026-07-05,2485,0,0,0,1,1,0,0,2395,88
2026-07-04,1673,0,0,0,1,1,0,0,1620,51
2026-07-03,1279,0,0,0,1,1,0,0,1242,35
2026-07-02,806,0,0,0,1,1,0,0,779,25
