Date,Total,eft-where-am-i-2.4.3-full.nupkg,eft-where-am-i-2.4.3-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-09-19,7735,43,324,7,15,2,1,0,6514,829
2026-09-18,7096,43,324,7,15,2,1,0,5940,764
2026-09-17,6538,43,324,7,15,2,1,0,5436,710
2026-09-16,5887,43,324,7,15,2,1,0,4859,636
2026-09-15,5365,43,324,7,15,2,1,0,4391,582
2026-09-14,4705,43,324,7,15,2,1,0,3805,508
2026-09-13,3936,43,324,7,15,2,1,0,3135,409
2026-09-12,3096,43,324,7,15,2,1,0,2388,316
2026-09-11,2293,43,324,7,15,2,1,0,1680,221
2026-09-10,1545,43,324,7,15,2,1,0,1019,134
2026-09-09,380,15,131,3,6,1,0,0,201,23
