Date,Total,eft-where-am-i-2.3.5-full.nupkg,eft-where-am-i-2.3.5-win-sc-full.nupkg,eft-where-am-i-win-Portable.zip,eft-where-am-i-win-sc-Portable.zip,eft-where-am-i-win-sc-Setup.exe,eft-where-am-i-win-Setup.exe,RELEASES,releases.win-sc.json,releases.win.json
2026-08-14,28629,11,403,19,59,14,6,4,25139,2974
2026-08-13,27800,11,403,18,59,14,6,4,24425,2860
2026-08-12,26908,11,403,18,59,14,6,4,23647,2746
2026-08-11,26023,11,402,17,58,14,5,4,22884,2628
2026-08-10,25144,10,402,17,57,13,5,2,22129,2509
2026-08-09,24138,10,401,17,57,12,5,2,21271,2363
2026-08-08,23103,10,401,17,57,12,5,2,20382,2217
2026-08-07,22179,9,401,17,56,12,4,2,19598,2080
2026-08-06,21248,9,401,17,56,12,4,2,18791,1956
2026-08-05,20313,9,401,17,56,12,4,2,17988,1824
2026-08-04,19403,9,401,17,56,12,4,2,17207,1695
2026-08-03,19042,9,401,17,56,12,4,2,16892,1649
2026-08-02,18424,9,401,17,56,12,4,2,16338,1585
2026-08-01,17812,9,401,17,56,12,4,2,15800,1511
2026-07-31,17235,9,401,17,56,12,4,2,15275,1459
2026-07-30,16717,9,401,17,56,12,4,2,14802,1414
2026-07-29,16194,9,401,17,56,12,4,2,14324,1369
2026-07-28,15959,9,401,17,56,12,4,2,14115,1343
2026-07-27,15395,9,401,17,56,12,4,2,13618,1276
2026-07-26,14729,9,401,17,56,12,4,2,13023,1205
2026-07-25,14044,9,401,17,56,12,4,2,12412,1131
2026-07-24,13429,9,401,17,56,12,4,2,11868,1060
2026-07-23,12858,9,401,17,56,12,4,2,11371,986
2026-07-22,12263,9,401,17,56,12,4,2,10842,920
2026-07-21,11653,9,401,17,56,12,4,2,10303,849
2026-07-20,11073,9,401,17,56,12,4,2,9777,795
2026-07-19,10418,9,401,17,56,12,4,2,9188,729
2026-07-18,9737,9,401,17,56,12,4,2,8585,651
2026-07-17,9055,9,401,17,56,12,4,2,7964,590
2026-07-16,8427,9,401,17,56,12,4,2,7389,537
2026-07-15,7845,9,401,17,56,12,4,2,6848,496
2026-07-14,7324,9,401,17,56,12,4,2,6364,459
2026-07-13,6771,9,401,17,56,12,4,2,5858,412
2026-07-12,6160,9,401,17,56,12,4,2,5290,369
2026-07-11,5509,9,401,17,55,12,4,2,4685,324
2026-07-10,4876,9,401,17,55,12,4,2,4106,270
2026-07-09,4323,9,401,17,55,12,4,2,3606,217
2026-07-08,3784,9,401,17,55,12,4,2,3103,181
2026-07-07,3264,9,401,17,55,12,4,2,2626,138
2026-07-06,2704,9,401,17,55,12,4,2,2100,104
2026-07-05,1999,9,401,17,54,12,4,2,1440,60
2026-07-04,1011,7,277,7,23,7,2,1,664,23
2026-07-03,470,2,161,2,12,2,0,0,285,6
